Title,Character,Manually Added Aliases,Gender,Race/Ethnicity,Annotator Notes,Source,,,
daisy miller - james,Winterbourne,,M,White,"""his fair countrywoman’s various features""",book,,,
daisy miller - james,Daisy,,F,White (unmarked),"young American girl in a book written in 1878 who wishes to enter ""the high society"" of her time, also visits Switzerland with no explicit mention of her race relative to others around her",wikipedia,,,
daisy miller - james,the young girl,,F,White (unmarked),"young American girl in a book written in 1878 who wishes to enter ""the high society"" of her time, also visits Switzerland with no explicit mention of her race relative to others around her",book,,,
daisy miller - james,Mr. Giovanelli,,M,White,"""a young Italian of questionable society"" in a book written in 1878",wikipedia,,,
daisy miller - james,Mrs. Miller,,F,White,Daisy and Randolph's mother,wikipedia,,,
daisy miller - james,Mrs. Walker,,F,White,American lady living in Rome in a book written in 1878,wikipedia,,,
daisy miller - james,Randolph,,M,White,Daisy's 9-year-old brother,wikipedia,,,
to kill a mockingbird - lee,I,Scout,F,White,“I wants to know why you bringin‘ white chillun to n*** church.”,book,,,
to kill a mockingbird - lee,Atticus,,M,White,"“Jem,” I asked, “what’s a mixed child?”",book,,,
to kill a mockingbird - lee,Jem,,M,White,“I wants to know why you bringin‘ white chillun to n*** church.”,book,,,
to kill a mockingbird - lee,Dill,,M,White,"""his blue eyes would lighten and darken""",book,,,
feed - anderson,I,Titus ,M,White (unmarked),unmarked,book,,,
feed - anderson,Violet,,F,White (unmarked),unmarked,book,,,
circuit - jimenez,I,Francisco,M,Latino/a/x,autobiographical novel by Francisco Jiménez based in part on his journey from Mexico to the United States of America,wikipedia,,,
circuit - jimenez,Papa,,M,Latino/a/x,"parent of Francisco, who is Mexican",book,,,
circuit - jimenez,Mama,,F,Latino/a/x,"parent of Francisco, who is Mexican",book,,,
circuit - jimenez,Roberto,,M,Latino/a/x,"brother to Francisco, who is Mexican",book,,,
circuit - jimenez,Torito,,M,Latino/a/x,"brother to Francisco, who is Mexican",book,,,
country of the pointed firs - jewett,I,unnamed,F,White (unmarked),"""The narrator, a Bostonian, returns after a brief visit a few summers prior, to the small coastal town of Dunnet, Maine, in order to finish writing her book."" no mentions of race in 1896 book that takes place in the U.S. ",book,,,
country of the pointed firs - jewett,Mrs. Todd,,F,White (unmarked),no mentions of race in 1896 book that takes place in the U.S.,book,,,
country of the pointed firs - jewett,Joanna,,F,White (unmarked),no mentions of race in 1896 book that takes place in the U.S.,book,,,
country of the pointed firs - jewett,William,,M,White (unmarked),no mentions of race in 1896 book that takes place in the U.S.,book,,,
memory keeper s daughter - edwards,Norah,,F,White,"""her blond hair swept back in an elegant chignon, pearls glimmering at her throat and on her ears. She was wearing a coat of dark green wool, and her skin was clear and pale.""",book,,,
memory keeper s daughter - edwards,David,,M,White (unmarked),race is not mentioned and characters are portrayed by white-appearing actors/actresses in film adaptation of book,book,,,
memory keeper s daughter - edwards,Caroline,,F,White (unmarked),race is not mentioned and characters are portrayed by white-appearing actors/actresses in film adaptation of book,book,,,
memory keeper s daughter - edwards,Paul,,M,White,"a boy, red-faced and dark-haired, child of Norah and David",book,,,
memory keeper s daughter - edwards,Phoebe,,F,White,"twin to paul, child of Norah and David",book,,,
memory keeper s daughter - edwards,Al,,M,White (unmarked),race is not mentioned and characters are portrayed by white-appearing actors/actresses in film adaptation of book,book,,,
memory keeper s daughter - edwards,Bree,,F,White (unmarked),race is not mentioned and characters are portrayed by white-appearing actors/actresses in film adaptation of book,book,,,
sing unburied sing - ward,I,,N/A,N/A,N/A,N/A,,,
